code	PL11	PL20	PL21	PL22	PN13	PN15	PN27	PN8	SL1	SL23	SL3	SL6	SN25	SN26	SN31	SN32
Al	10836.2547767781	9839.9375330515	11652.6640204793	13424.0022652831	10760.7908145195	18549.5413987563	17572.1656528998	10698.4959682943	10789.6693955386	9776.0462757603	7024.1033500586	24423.7177454188	44673.4406795325	35040.7837038144	22465.3766559078	21231.7540550074
As	24.2097987845	11.373659924	23.1952579809	26.3184418883	7.0397020486	6.8647733147	7.0361370913	6.4638115278	18.3884648684	23.8515196287	15.5732938064	14.1688965395	10.6246727858	13.7927104889	11.9260409158	6.4395562072
Ca	188132.635676578	191047.757423418	180144.423761255	148226.335066842	1020.3614289148	2673.8819886686	2707.5254198916	1506.8888745115	296169.962719377	210801.622449247	286495.528877352	54234.3557513778	7362.4072423123	29682.9498470536	3804.2503764445	3402.2119915477
Cd	0.2675710306	0.2756899074	0.2090558606	0.2598219963	0.1561558238	0.0591319309	0	0.2522157354	0.5763773499	0.2886855627	0.384471519	0.6209766932	0.3925821696	1.3106420061	0.1341909104	0.2860309492
Co	3.7501034576	2.8576518642	3.8831504588	4.9820787269	5.6872582775	5.3818292688	5.4620613191	7.4487530873	3.3711343857	3.4361489729	2.2706405905	7.3990529662	11.3183396769	10.9457862346	7.2910086114	5.9417095546
Cr	18.9592886265	18.5249131066	20.6774895009	23.0491147965	16.5536195085	27.9791513026	27.1620197389	16.046890534	22.4481313791	18.4263833406	15.8902611707	35.6662029931	63.0564572254	58.3191958898	34.6442541697	33.6579714244
Cu	9.1251270321	7.9506591153	9.2094124921	11.0213936266	6.3794499692	9.399574827	10.1819819455	6.3055353706	13.481289619	9.5461553489	9.7074927414	13.101232164	20.8418073543	30.3699069667	12.5411836069	12.1600718849
Fe	10347.548693189	7183.2909847859	12131.7663890339	15722.1048748827	10795.6885778368	13067.1524256993	12128.1344989996	10517.5818940818	7574.8301071684	10009.9446919689	5705.4613116234	18899.3271668877	28854.5806892578	27122.5873290396	19654.8135206822	13343.0912405923
Hg	4.2069348519	4.1388821254	2.2717804029	2.407623396	0	0.5169096612	0.630059025	0	6.491718976	2.2630547006	5.0198323528	1.7488778443	1.2279903	6.7511668688	0.490480746	1.135007352
K	1741.5130050067	1596.6566711268	1756.3154788432	2167.9743058814	1141.8077596069	2222.3870530682	2015.2663571031	1136.2039831939	1968.2249234718	1600.460738979	1102.7206808166	4025.0562130583	5121.3685223763	3989.2077468462	2750.6404086455	2853.8060547096
Mg	1428.4369346589	1212.7702473897	1593.3482156559	1867.6599701832	1389.9370106387	1942.1784434547	1991.7174768855	1301.2679345022	1427.1191959949	1465.8650815923	1061.6816094269	2868.0599051791	4575.4039055943	3699.8869479294	2470.4516703029	2304.4780499491
Mn	320.934398112	196.6523202884	262.5622639412	280.6314651908	381.9979153531	86.8631017225	110.7202814545	380.6966107691	271.3006324797	265.5127721182	263.6878845423	154.564464617	205.1030002352	577.8356967768	116.2484564962	86.727885344
Na	658.8635358843	685.2955726444	618.5034753027	493.4334193192	26.9346739083	51.5918515761	44.5367450782	45.4218398476	1105.8269514245	729.4253906122	1052.1932421889	225.8546110991	124.2547249561	166.1142343927	71.2794792143	65.0613708137
Ni	12.3055459672	9.3653955138	12.6428047085	15.6520137632	10.0223645602	15.4673651338	15.757425596	10.2215178161	10.938077356	11.5078984091	8.3246346545	22.1275110868	35.5266955138	39.6728852536	19.9004521972	18.9889993759
P	557.4816303327	444.7753003707	716.1588556372	957.4125745782	308.229477904	227.210747496	276.3683718637	509.2247724595	665.3929542988	683.0932310522	657.7184368413	624.4638536605	525.0965351505	1308.0682953313	292.3085704334	310.7704510074
Pb	17.1035939705	13.5281859318	17.6988792474	20.1890152523	21.8633379116	22.6845110164	23.3266657868	21.0635551961	18.5315219525	17.3335954703	13.5795697168	22.604568772	40.6743186801	51.4616039146	25.686871631	29.604359001
Sb	1.2052840331	0	0.6108385662	0.740593271	0	0	0	0	0.5762387168	0	0	0	2.120990305	3.0305972783	0	0
Se	0	0	0	0	0	0	0	0	0	0	0	0	0.9791008425	2.6213878153	0	0
Si	266.1954920186	248.3658313216	246.0156836666	290.5590482959	175.6561137431	181.9897630501	265.2559781137	263.5743133652	174.7734062205	277.2449087939	265.3665834678	292.2547188772	340.5011454974	363.6666324308	284.2513119564	285.8809150749
Sn	0.9656420634	2.1209789146	1.3421657559	2.4593529273	0.2939027587	0.8688262215	0.658880791	0.3373592563	4.6329294999	1.8847254192	3.3371616622	1.4841864049	2.4387419087	6.5300765487	1.3247208774	0.9361405049
Sr	189.3819093747	191.8318306955	189.4244796989	155.6988357024	10.0009674117	12.2480067907	11.8449221467	11.5743641287	304.3128413088	220.7272749844	302.8822075016	61.4894062102	27.2558772787	44.498803349	15.232167255	13.9993745972
